Team,Calc_NPI,Calc_SOS,Ref_NPI,Ref_SOS,NPI_Diff,SOS_Diff,Abs_NPI_Diff
RPI,44.79122526137395,50.58923102444518,45.092,50.537,-0.3007747386260462,0.05223102444518446,0.3007747386260462
Minnesota State,53.03357890736565,50.31990867265558,53.296,50.325,-0.262421092634348,-0.005091327344423746,0.262421092634348
LIU,51.81394154886701,50.17804659738346,51.583,50.174,0.23094154886700835,0.00404659738345714,0.23094154886700835
Alaska Anchorage,42.78376754876735,50.46688792393348,42.99,50.202,-0.20623245123265121,0.26488792393347893,0.20623245123265121
Union,51.32287787187831,48.3620609713787,51.123,48.197,0.1998778718783143,0.16506097137870057,0.1998778718783143
Bemidji State,48.82409505160741,51.97191886142949,49.01,52.09,-0.18590494839259009,-0.11808113857051694,0.18590494839259009
St. Thomas,55.24762154090556,50.96394933213856,55.4,51.107,-0.15237845909443593,-0.14305066786143783,0.15237845909443593
Harvard,53.085463025594485,50.93229673107902,53.197,51.102,-0.11153697440551724,-0.1697032689209763,0.11153697440551724
Michigan Tech,52.449461277162975,48.61038329989568,52.558,48.504,-0.10853872283702515,0.10638329989568263,0.10853872283702515
Bowling Green,52.84282402693174,48.36711604801796,52.946,48.375,-0.10317597306826087,-0.007883951982037729,0.10317597306826087
Augustana,53.62793908399511,48.98444624111309,53.724,48.968,-0.09606091600488753,0.016446241113087012,0.09606091600488753
Massachusetts,52.98834335326342,51.27379491226898,52.894,51.377,0.0943433532634188,-0.10320508773101977,0.0943433532634188
Ohio State,51.24815319608065,53.0350474040383,51.342,53.22,-0.09384680391934808,-0.1849525959616969,0.09384680391934808
New Hampshire,50.91302987978077,52.15815458919944,50.823,52.105,0.09002987978077215,0.05315458919944405,0.09002987978077215
Western Michigan,58.38430277543696,52.81467434749616,58.296,52.609,0.08830277543695786,0.20567434749615643,0.08830277543695786
Cornell,55.91205557458184,50.43358586583352,55.824,50.574,0.0880555745818441,-0.14041413416647686,0.0880555745818441
Lake Superior,48.06021288068506,50.3539965986452,48.147,50.514,-0.08678711931494121,-0.16000340135479973,0.08678711931494121
Northern Michigan,43.11138096948292,52.65988056600232,43.197,52.982,-0.08561903051707986,-0.3221194339976776,0.08561903051707986
Ferris State,44.16615529810423,53.177208208135205,44.249,53.23,-0.0828447018957732,-0.05279179186479155,0.0828447018957732
Alaska,48.47362304201352,52.30676076427604,48.547,52.404,-0.07337695798647559,-0.09723923572396131,0.07337695798647559
St. Cloud State,53.39837789017653,52.75176872508995,53.471,53.012,-0.07262210982346318,-0.2602312749100477,0.07262210982346318
Miami,52.17862916234738,50.89065788089284,52.109,50.749,0.06962916234737548,0.14165788089283637,0.06962916234737548
Canisius,50.97181601392074,48.64088673564324,50.904,48.559,0.06781601392073355,0.08188673564324489,0.06781601392073355
Minnesota,50.42579609109478,55.27601633475129,50.492,55.343,-0.06620390890521577,-0.06698366524871346,0.06620390890521577
Vermont,48.496689750579165,51.43458979301048,48.431,51.675,0.0656897505791676,-0.24041020698951598,0.0656897505791676
Merrimack,51.59018737158916,51.70809595221738,51.528,51.435,0.06218737158916099,0.2730959522173748,0.06218737158916099
Clarkson,50.527920318438376,51.03000768069728,50.589,50.977,-0.06107968156162258,0.05300768069728434,0.06107968156162258
Brown,44.01293897374916,50.064604952326526,44.073,50.286,-0.06006102625084253,-0.22139504767347518,0.06006102625084253
Colorado College,51.12718227372521,52.704897862491634,51.069,52.643,0.05818227372520823,0.06189786249163376,0.05818227372520823
Sacred Heart,51.212436911092425,49.53779409259754,51.155,49.359,0.05743691109242377,0.17879409259753487,0.05743691109242377
Holy Cross,49.432537627475774,48.96480679739991,49.488,49.229,-0.055462372524225145,-0.26419320260009016,0.055462372524225145
Notre Dame,46.39545431923777,54.06574070627904,46.45,54.4,-0.05454568076223154,-0.33425929372096164,0.05454568076223154
Michigan,60.33189757239298,51.9423597645831,60.386,52.387,-0.05410242760702033,-0.4446402354168981,0.05410242760702033
Northeastern,51.96308532325944,50.8860075542262,51.91,51.058,0.05308532325944526,-0.17199244577380313,0.05308532325944526
Stonehill,43.73974158910679,49.94863875214391,43.791,49.558,-0.0512584108932046,0.3906387521439072,0.0512584108932046
Michigan State,59.05172142397067,51.84102837455686,59.005,51.897,0.046721423970666365,-0.055971625443135054,0.046721423970666365
Connecticut,54.259949661002175,51.24089364994838,54.215,51.181,0.044949661002171126,0.05989364994838553,0.044949661002171126
Arizona State,51.78158357215064,53.61375228338972,51.738,53.99,0.043583572150637906,-0.3762477166102798,0.043583572150637906
Maine,52.59743729524301,51.96395987878046,52.639,51.845,-0.04156270475699131,0.11895987878045844,0.04156270475699131
Army,48.77004839231011,49.24979631509039,48.732,49.317,0.03804839231010959,-0.06720368490960738,0.03804839231010959
Boston University,52.74912903517743,52.75231915864951,52.713,52.768,0.03612903517743149,-0.01568084135048764,0.03612903517743149
Dartmouth,55.31670290332753,49.4788985244452,55.352,49.349,-0.0352970966724655,0.12989852444520267,0.0352970966724655
Omaha,49.7146361767841,54.01758469646643,49.68,54.042,0.03463617678409747,-0.024415303533572796,0.03463617678409747
St. Lawrence,41.39171000836631,49.50470070185701,41.425,49.601,-0.033289991633687066,-0.09629929814298777,0.033289991633687066
Providence,56.4757369439592,52.23398052315854,56.508,52.355,-0.03226305604080437,-0.12101947684145387,0.03226305604080437
Penn State,58.40331552125544,51.837378679706205,58.434,52.118,-0.030684478744554156,-0.2806213202937968,0.030684478744554156
Minnesota Duluth,56.73682943205391,52.84156404556677,56.767,52.812,-0.03017056794609374,0.02956404556677228,0.03017056794609374
Mercyhurst,41.08397364840961,51.03279448539244,41.055,50.677,0.02897364840961103,0.35579448539243685,0.02897364840961103
Denver,55.26117294263708,52.81470291432257,55.235,53.063,0.02617294263708203,-0.2482970856774358,0.02617294263708203
Wisconsin,55.56924377791926,52.78041831395178,55.594,53.202,-0.024756222080739576,-0.42158168604822066,0.024756222080739576
Princeton,51.59288203722736,49.13226801601536,51.613,49.119,-0.020117962772637554,0.013268016015359763,0.020117962772637554
Robert Morris,46.78979011611784,49.654330344504025,46.77,49.422,0.019790116117839318,0.23233034450402812,0.019790116117839318
North Dakota,58.456390208932206,51.20194728653732,58.476,51.36,-0.01960979106779348,-0.15805271346268057,0.01960979106779348
Yale,46.80149599627156,50.75828040693453,46.785,50.77,0.016495996271565616,-0.011719593065471656,0.016495996271565616
RIT,50.73738196079301,49.22475175839198,50.721,49.07,0.01638196079301224,0.1547517583919813,0.01638196079301224
Colgate,49.06797707353281,51.549033061718376,49.08,51.423,-0.012022926467189166,0.12603306171837403,0.012022926467189166
UMass Lowell,48.58041158036546,51.683616789923214,48.569,51.647,0.0114115803654542,0.036616789923215265,0.0114115803654542
Quinnipiac,55.89054374764386,49.79505430822204,55.88,49.846,0.010543747643858126,-0.050945691777954494,0.010543747643858126
Niagara,44.070922788789005,48.71906568149994,44.066,48.655,0.004922788789002652,0.0640656814999403,0.004922788789002652
Air Force,50.32223963620332,50.32287133715517,50.327,50.432,-0.004760363796677325,-0.10912866284483158,0.004760363796677325
Lindenwood,50.943822099136135,50.52987599543287,50.94,50.503,0.0038220991361370693,0.026875995432867228,0.0038220991361370693
Boston College,54.45999059486548,51.53017298214693,54.462,51.48,-0.002009405134522524,0.050172982146932554,0.002009405134522524
Bentley,51.95771982466508,48.76159418169747,51.957,48.464,0.0007198246650759188,0.29759418169746965,0.0007198246650759188
