Team,NPI,SOS,QWB,WP,Dropped Wins,Dropped Losses,Rank
Michigan,60.33189757239298,51.9423597645831,1.1374865997165426,78.80341880341881,5,0,1
Michigan State,59.05172142397067,51.84102837455686,0.9296965797900243,76.48,3,0,2
North Dakota,58.456390208932206,51.20194728653732,0.5773082453065853,77.14285714285714,2,0,3
Penn State,58.40331552125544,51.837378679706205,0.5506969991710885,75.0,2,0,4
Western Michigan,58.38430277543696,52.81467434749616,1.0437948794105012,71.87499999999999,1,0,5
Minnesota Duluth,56.73682943205391,52.84156404556677,0.5271940824881555,66.46616541353383,0,0,6
Providence,56.4757369439592,52.23398052315854,0.5498684002833657,66.66666666666666,0,0,7
Cornell,55.912055574581835,50.433585865833514,0.3408558764172688,70.46511627906978,0,0,8
Quinnipiac,55.89054374764386,49.79505430822204,0.3997553094431544,72.48,0,0,9
Wisconsin,55.56924377791926,52.78041831395178,0.5357079698354249,60.483870967741936,0,0,10
Dartmouth,55.31670290332753,49.4788985244452,0.22279659339673316,72.42105263157895,0,0,11
Denver,55.26117294263708,52.81470291432257,0.6879398955776119,58.840579710144915,0,0,12
St. Thomas,55.24762154090556,50.963949332138554,0.26231816274748143,66.9172932330827,0,0,13
Boston College,54.45999059486548,51.53017298214693,0.16159388649396147,62.807017543859644,0,0,14
Connecticut,54.259949661002175,51.24089364994838,0.3285461803979262,62.137404580152676,0,0,15
Augustana,53.62793908399511,48.98444624111309,0.21786742163439327,66.94214876033058,0,0,16
St. Cloud State,53.39837789017653,52.75176872508995,0.4382665375647633,53.02325581395348,0,0,17
Harvard,53.085463025594485,50.93229673107902,0.019770734650912607,58.958333333333336,0,0,18
Minnesota State,53.03357890736565,50.31990867265558,0.20378870595200949,60.629921259842526,0,0,19
Massachusetts,52.98834335326342,51.27379491226898,0.3906652371634612,56.32,0,0,20
Bowling Green,52.84282402693174,48.367116048017955,0.14402836752247583,66.05042016806722,0,0,21
Boston University,52.74912903517743,52.752319158649506,0.37199217811701496,51.007751937984494,0,0,22
Maine,52.59743729524301,51.96395987878046,0.2987164226167088,53.442622950819676,0,0,23
Michigan Tech,52.449461277162975,48.61038329989568,0.10841412396925847,64.25531914893618,0,0,24
Miami,52.178629162347384,50.89065788089284,0.13892628244239008,55.96491228070175,0,0,25
Northeastern,51.963085323259435,50.8860075542262,0.40564501701547095,52.89719626168225,0,0,26
Bentley,51.95771982466508,48.76159418169747,0.042635106481429604,62.295081967213115,0,0,27
LIU,51.813941548867014,50.17804659738346,0.03924402824660865,57.666666666666664,0,0,28
Arizona State,51.78158357215064,53.61375228338972,0.4954257666431378,42.945736434108525,0,0,29
Princeton,51.59288203722736,49.13226801601536,0.1856911099351523,58.42696629213483,0,0,30
Merrimack,51.59018737158916,51.708095952217384,0.3249996113919923,50.78260869565218,0,0,31
Union,51.32287787187831,48.3620609713787,0.13695957833784067,60.33057851239669,0,0,32
Ohio State,51.24815319608065,53.0350474040383,0.3700906583471502,43.888888888888886,0,0,33
Sacred Heart,51.212436911092425,49.537794092597544,0.09704145064734436,56.393442622950815,0,0,34
Colorado College,51.12718227372521,52.704897862491634,0.500028064033147,44.8,0,0,35
Canisius,50.971816013920744,48.64088673564324,0.04683362921777334,57.913043478260875,0,0,36
Lindenwood,50.943822099136135,50.52987599543287,0.12275455577331568,51.86440677966101,0,0,37
New Hampshire,50.91302987978077,52.15815458919944,0.4714211551940676,45.24590163934426,0,0,38
RIT,50.73738196079301,49.22475175839198,0.14543707161302633,55.2,0,0,39
Clarkson,50.527920318438376,51.03000768069728,0.42025570952821006,47.61904761904762,0,0,40
Minnesota,50.42579609109478,55.27601633475129,0.44338301770112204,33.9344262295082,0,0,41
Air Force,50.32223963620332,50.32287133715517,0.16113266387190658,49.44,0,0,42
Omaha,49.7146361767841,54.01758469646643,0.33172888318792126,35.38461538461538,0,0,43
