Date,HomeTeam,AwayTeam,HomeWinProb,ProjectedWinner
2025-12-19,Augustana,Omaha,0.553,Augustana
2025-12-20,Augustana,Omaha,0.553,Augustana
2025-12-27,Dartmouth,Arizona State,0.81,Dartmouth
2025-12-28,Princeton,Brown,0.768,Princeton
2025-12-28,LIU,Army,0.485,Army
2025-12-28,Dartmouth,Arizona State,0.81,Dartmouth
2025-12-28,Wisconsin,Lake Superior,0.962,Wisconsin
2025-12-28,Michigan Tech,Miami,0.348,Miami
2025-12-28,Ferris State,Michigan State,0.042,Michigan State
2025-12-28,Boston College,Western Michigan,0.419,Western Michigan
2025-12-29,Lake Superior,BC/WMU,0.187,BC/WMU
2025-12-29,Clarkson,RIT,0.525,Clarkson
2025-12-29,Western Michigan,LSSU/Wisconsin,0.634,Western Michigan
2025-12-29,Boston College,LSSU/Wisconsin,0.555,Boston College
2025-12-29,Wisconsin,BC/WMU,0.852,Wisconsin
2025-12-29,Miami,Michigan St/Ferris,0.528,Miami
2025-12-29,Ferris State,MichiganTech/Miami,0.159,MichiganTech/Miami
2025-12-29,Michigan Tech,Michigan St/Ferris,0.374,Michigan St/Ferris
2025-12-29,Michigan State,MichiganTech/Miami,0.813,Michigan State
2025-12-29,Vermont,Merrimack,0.433,Merrimack
2025-12-30,Sacred Heart,Robert Morris,0.765,Sacred Heart
2025-12-31,Connecticut,LIU,0.806,Connecticut
2026-01-02,Notre Dame,Western Michigan,0.124,Western Michigan
2026-01-02,Denver,Maine,0.587,Denver
2026-01-02,North Dakota,Mercyhurst,0.996,North Dakota
2026-01-02,Providence,Alaska,0.724,Providence
2026-01-02,Cornell,Omaha,0.58,Cornell
2026-01-02,St. Lawrence,Stonehill,0.373,Stonehill
2026-01-02,Lindenwood,Canisius,0.675,Lindenwood
2026-01-02,Augustana,Colorado College,0.49,Colorado College
2026-01-02,Ohio State,Bowling Green,0.522,Ohio State
2026-01-02,St. Cloud State,Yale,0.684,St. Cloud State
2026-01-02,Quinnipiac,Harvard,0.474,Harvard
2026-01-02,Princeton,Dartmouth,0.108,Dartmouth
2026-01-02,Arizona State,Alaska Anchorage,0.918,Arizona State
2026-01-02,Air Force,Michigan Tech,0.449,Michigan Tech
2026-01-02,Minnesota State,UMass Lowell,0.826,Minnesota State
2026-01-02,St. Thomas,Ferris State,0.799,St. Thomas
2026-01-02,Bentley,Holy Cross,0.41,Holy Cross
2026-01-02,Army,Northeastern,0.222,Northeastern
2026-01-03,Bowling Green,Ohio State,0.478,Ohio State
2026-01-03,Augustana,Colorado College,0.49,Colorado College
2026-01-03,Lindenwood,Canisius,0.675,Lindenwood
2026-01-03,LIU,Connecticut,0.194,Connecticut
2026-01-03,St. Lawrence,Stonehill,0.373,Stonehill
2026-01-03,Cornell,Omaha,0.58,Cornell
2026-01-03,North Dakota,Mercyhurst,0.996,North Dakota
2026-01-03,New Hampshire,Colgate,0.763,New Hampshire
2026-01-03,Vermont,RPI,0.615,Vermont
2026-01-03,Western Michigan,Notre Dame,0.876,Western Michigan
2026-01-03,Denver,Maine,0.587,Denver
2026-01-03,Niagara,Clarkson,0.363,Clarkson
2026-01-03,Providence,Alaska,0.724,Providence
2026-01-03,RIT,Penn State,0.153,Penn State
2026-01-03,Brown,Merrimack,0.267,Merrimack
2026-01-03,Princeton,Harvard,0.273,Harvard
2026-01-03,Arizona State,AFA/MTU,0.511,Arizona State
2026-01-03,Alaska Anchorage,AFA/MTU,0.086,AFA/MTU
2026-01-03,Michigan Tech,UAA/Ariz St,0.374,UAA/Ariz St
2026-01-03,Air Force,UAA/Ariz St,0.328,UAA/Ariz St
2026-01-03,St. Cloud State,UMassLowell/MinnSt,0.415,UMassLowell/MinnSt
2026-01-03,Quinnipiac,Dartmouth,0.225,Dartmouth
2026-01-03,UMass Lowell,St. Cloud/Yale,0.192,St. Cloud/Yale
2026-01-03,Yale,UMassLowell/MinnSt,0.247,UMassLowell/MinnSt
2026-01-03,Minnesota State,St. Cloud/Yale,0.531,Minnesota State
2026-01-03,St. Thomas,Ferris State,0.799,St. Thomas
2026-01-03,Lake Superior,Northern Michigan,0.849,Lake Superior
2026-01-03,Holy Cross,Bentley,0.59,Holy Cross
2026-01-03,Robert Morris,Sacred Heart,0.235,Sacred Heart
2026-01-04,New Hampshire,Colgate,0.763,New Hampshire
2026-01-04,Lake Superior,Northern Michigan,0.849,Lake Superior
2026-01-04,Penn State,RIT,0.847,Penn State
2026-01-09,Yale,St. Lawrence,0.838,Yale
2026-01-09,Cornell,Alaska,0.744,Cornell
2026-01-09,Wisconsin,Alaska Anchorage,0.984,Wisconsin
2026-01-09,Omaha,St. Cloud State,0.51,Omaha
2026-01-09,Denver,Western Michigan,0.468,Western Michigan
2026-01-09,Arizona State,Miami,0.483,Miami
2026-01-09,Colorado College,North Dakota,0.24,North Dakota
2026-01-09,Minnesota Duluth,Lindenwood,0.799,Minnesota Duluth
2026-01-09,Connecticut,UMass Lowell,0.841,Connecticut
2026-01-09,Providence,Maine,0.462,Maine
2026-01-09,Massachusetts,Boston University,0.399,Boston University
2026-01-09,Brown,Clarkson,0.265,Clarkson
2026-01-09,Vermont,Northeastern,0.231,Northeastern
2026-01-09,Quinnipiac,Union,0.625,Quinnipiac
2026-01-09,Princeton,RPI,0.716,Princeton
2026-01-09,Mercyhurst,Army,0.033,Army
2026-01-09,RIT,Robert Morris,0.768,RIT
2026-01-09,Air Force,Bentley,0.53,Air Force
2026-01-09,Penn State,Minnesota,0.718,Penn State
2026-01-09,Niagara,Sacred Heart,0.389,Sacred Heart
2026-01-09,Michigan,Notre Dame,0.957,Michigan
2026-01-09,Ferris State,Bowling Green,0.26,Bowling Green
2026-01-09,Bemidji State,Michigan Tech,0.511,Bemidji State
2026-01-09,Northern Michigan,Augustana,0.043,Augustana
2026-01-09,Dartmouth,Harvard,0.756,Dartmouth
2026-01-09,Ohio State,Michigan State,0.119,Michigan State
2026-01-10,Boston University,Massachusetts,0.601,Boston University
2026-01-10,UMass Lowell,Connecticut,0.159,Connecticut
2026-01-10,Providence,Maine,0.462,Maine
2026-01-10,Vermont,Northeastern,0.231,Northeastern
2026-01-10,Omaha,St. Cloud State,0.51,Omaha
2026-01-10,Cornell,Alaska,0.744,Cornell
2026-01-10,Denver,Western Michigan,0.468,Western Michigan
2026-01-10,Colorado College,North Dakota,0.24,North Dakota
2026-01-10,Holy Cross,Merrimack,0.582,Holy Cross
2026-01-10,Wisconsin,Alaska Anchorage,0.984,Wisconsin
2026-01-10,Quinnipiac,RPI,0.858,Quinnipiac
2026-01-10,Arizona State,Miami,0.483,Miami
