Team,Base_Rank,Base_NPI,High Bar (53/0.8)_Rank,High Bar (53/0.8)_NPI,Low Bar (49/0.3)_Rank,Low Bar (49/0.3)_NPI,Additive (Simple Avg)_Rank,Additive (Simple Avg)_NPI,High Bar (53/0.8)_Change,Low Bar (49/0.3)_Change,Additive (Simple Avg)_Change
Michigan,1,60.13725268897491,1,59.73959185049581,1,60.27929136732812,1,60.00688322903699,0,0,0
Michigan State,2,58.85067757123344,2,58.532065181246324,2,59.04107042719904,2,58.75506856925559,0,0,0
North Dakota,3,58.24700256393753,4,57.68119705879986,3,58.61041670053016,3,58.26054304708458,-1,0,0
Western Michigan,4,58.201675330952135,5,57.65158043453153,5,58.348549569901856,4,58.201275224350255,-1,-1,0
Penn State,5,58.151966940543744,3,57.870281558632705,4,58.53143971336984,5,58.083150053146305,2,1,0
Minnesota Duluth,6,56.55545826065596,6,56.07163229661789,6,56.824776227715354,6,56.53953509671795,0,0,0
Providence,7,56.21481347626167,7,55.56495820821297,7,56.60607916990802,7,56.18408063447295,0,0,0
Cornell,8,55.710539576776384,10,55.217035642339695,8,56.082078007735625,8,55.66779335401595,-2,0,0
Quinnipiac,9,55.689960027509116,9,55.26324026521855,9,56.074214610090614,9,55.665485344655664,0,0,0
Wisconsin,10,55.42885722167649,8,55.26622663049852,10,55.570168609706386,10,55.3279462122383,2,0,0
Dartmouth,11,55.14944437119703,11,54.811811939098945,11,55.465729535855594,11,55.15350230077169,0,0,0
St. Thomas,12,55.0915807689089,13,54.568821757289214,12,55.36574229905442,12,55.08305950995989,-1,0,0
Denver,13,55.05822202547236,12,54.57342813634192,13,55.32324989684662,13,54.97971400002583,1,0,0
Boston College,14,54.2541497989255,14,53.80351573587849,14,54.62149084956685,14,54.24159846882079,0,0,0
Connecticut,15,53.949350251075806,15,53.51471582426731,15,54.45829612620938,15,53.942916269318246,0,0,0
Augustana,16,53.47498815324969,16,53.1007527988427,16,53.72239529380079,16,53.43385974419168,0,0,0
St. Cloud State,17,53.25015709001067,17,52.8107612429938,17,53.45082002170202,17,53.27413947247791,0,0,0
Harvard,18,52.93477363490584,18,52.662231257809076,18,53.249054622547845,18,52.916696296416475,0,0,0
Minnesota State,19,52.901893111272535,19,52.50698608643862,20,53.11563605790463,19,52.88450982472494,0,-1,0
Massachusetts,20,52.747749385605374,21,52.24566505550749,19,53.152327639070364,20,52.75693332721318,-1,1,0
