Rank,Team,KRACH
1,Wisconsin,574.822829216586
2,Michigan,548.7688176708648
3,Dartmouth,445.156625895823
4,Michigan State,434.86010091947867
5,North Dakota,301.92406337745996
6,Minnesota Duluth,228.88624011540273
7,Penn State,226.12631521895082
8,Western Michigan,173.07987574885811
9,Denver,152.37287885131167
10,Harvard,143.46885881194154
11,Quinnipiac,129.32717454830188
12,Connecticut,126.18506340079692
13,Boston College,124.80070135279418
14,New Hampshire,116.30882462968961
15,Northeastern,113.28598057798997
16,Minnesota State,113.25968434248898
17,Miami,111.77750490631428
18,Maine,107.12580277187243
19,Arizona State,104.41447737278648
20,Cornell,102.04938966082852
21,Boston University,95.65733373736289
22,Colorado College,95.20961933598147
23,Providence,92.15625410684235
24,Augustana,91.62078925093256
25,Minnesota,88.7955459676206
26,Union,77.72032463779568
27,St. Thomas,75.24657332629738
28,Omaha,73.95972308046991
29,St. Cloud State,70.94565978864384
30,Massachusetts,63.54156859415816
31,Bemidji State,62.39803914413101
32,Holy Cross,62.05795381453224
33,Michigan Tech,59.73984069769954
34,Ohio State,58.77639090171116
35,Lindenwood,57.60175493294335
36,Bowling Green,53.88463259359229
37,Princeton,53.87766169382466
38,Air Force,48.71942413868658
39,Clarkson,45.11690519772375
40,Merrimack,44.53671398594326
41,Bentley,43.14547362600059
42,RIT,40.85850283902246
43,Sacred Heart,40.367362082127244
44,Colgate,36.049096238782255
45,Alaska,35.15758270565375
46,Vermont,34.045250095080505
47,Yale,32.801921289623834
48,Army,32.27676641084534
49,LIU,30.39953355560031
50,Canisius,27.75269751480985
51,Niagara,25.751809830967858
52,Notre Dame,24.58366352525048
53,UMass Lowell,23.812672179676365
54,Lake Superior,22.996441454959054
55,RPI,21.34633015023493
56,Ferris State,18.95664526411454
57,Brown,16.243290288796626
58,Robert Morris,12.370039743092173
59,Stonehill,10.637169154527882
60,Alaska Anchorage,9.368427327342598
61,St. Lawrence,6.329315449778465
62,Northern Michigan,4.07861097478064
63,Mercyhurst,1.1074799814980725
