Date,HomeTeam,AwayTeam,NeutralSite,Season
2026-10-02,Niagara,RIT,False,20262027
2026-10-02,Colorado College,Massachusetts,False,20262027
2026-10-02,Minnesota Duluth,LIU,False,20262027
2026-10-02,Quinnipiac,New Hampshire,False,20262027
2026-10-02,Alaska Anchorage,Denver,False,20262027
2026-10-02,Lindenwood,Arizona State,False,20262027
2026-10-02,Alaska,Boston University,False,20262027
2026-10-02,St. Lawrence,mvl,False,20262027
2026-10-02,Michigan Tech,Minnesota,False,20262027
2026-10-02,Michigan,Bowling Green,False,20262027
2026-10-02,Wisconsin,Robert Morris,False,20262027
2026-10-02,Holy Cross,Maine,False,20262027
2026-10-02,Canisius,Ferris State,False,20262027
2026-10-02,Northern Michigan,Miami,False,20262027
2026-10-03,Alaska,Boston University,False,20262027
2026-10-03,Colorado College,Massachusetts,False,20262027
2026-10-03,Minnesota Duluth,LIU,False,20262027
2026-10-03,Quinnipiac,Merrimack,False,20262027
2026-10-03,Alaska Anchorage,Denver,False,20262027
2026-10-03,Lindenwood,Arizona State,False,20262027
2026-10-03,Northern Michigan,Miami,False,20262027
2026-10-03,Bemidji State,St. Cloud State,False,20262027
2026-10-03,Bowling Green,Michigan,False,20262027
2026-10-03,Michigan Tech,Minnesota,False,20262027
2026-10-03,Wisconsin,Robert Morris,False,20262027
2026-10-03,Holy Cross,Maine,False,20262027
2026-10-03,Army,Union,False,20262027
2026-10-03,Canisius,Ferris State,False,20262027
2026-10-03,RIT,Niagara,False,20262027
2026-10-08,Lindenwood,Lake Superior,False,20262027
2026-10-08,Western Michigan,Ferris State,False,20262027
2026-10-08,Merrimack,New Hampshire,False,20262027
2026-10-08,Notre Dame,Niagara,False,20262027
2026-10-09,Stonehill,Colgate,False,20262027
2026-10-09,St. Cloud State,Michigan Tech,False,20262027
2026-10-09,St. Thomas,Air Force,False,20262027
2026-10-09,UMass Lowell,Clarkson,False,20262027
2026-10-09,Maine,Quinnipiac,False,20262027
2026-10-09,Providence,St. Lawrence,False,20262027
2026-10-09,Boston College,Alaska,False,20262027
2026-10-09,Massachusetts,RIT,False,20262027
2026-10-09,RPI,Ohio State,False,20262027
2026-10-09,Lindenwood,Lake Superior,False,20262027
2026-10-09,Arizona State,Holy Cross,False,20262027
2026-10-09,Ferris State,Western Michigan,False,20262027
2026-10-09,Connecticut,Penn State,False,20262027
2026-10-09,Sacred Heart,Bowling Green,False,20262027
2026-10-09,Bentley,Vermont,False,20262027
2026-10-09,Notre Dame,Niagara,False,20262027
2026-10-09,LIU,Canisius,False,20262027
2026-10-09,Michigan,Alaska Anchorage,False,20262027
2026-10-09,Minnesota State,Wisconsin,False,20262027
2026-10-09,Bemidji State,North Dakota,False,20262027
2026-10-09,Augustana,Minnesota Duluth,False,20262027
2026-10-09,Michigan State,Northern Michigan,False,20262027
2026-10-10,St. Cloud State,Michigan Tech,False,20262027
2026-10-10,North Dakota,Bemidji State,False,20262027
2026-10-10,St. Thomas,Air Force,False,20262027
2026-10-10,Arizona State,Holy Cross,False,20262027
2026-10-10,UMass Lowell,St. Lawrence,False,20262027
2026-10-10,Providence,Clarkson,False,20262027
2026-10-10,Maine,Quinnipiac,False,20262027
2026-10-10,Massachusetts,RIT,False,20262027
2026-10-10,Union,Alaska,False,20262027
2026-10-10,LIU,Canisius,False,20262027
2026-10-10,Stonehill,Colgate,False,20262027
2026-10-10,Augustana,Minnesota Duluth,False,20262027
2026-10-10,Minnesota State,Wisconsin,False,20262027
2026-10-10,Michigan State,Northern Michigan,False,20262027
2026-10-10,Bentley,Northeastern,False,20262027
2026-10-10,Sacred Heart,Penn State,False,20262027
2026-10-10,Connecticut,Bowling Green,False,20262027
2026-10-10,RPI,Ohio State,False,20262027
2026-10-10,Michigan,Alaska Anchorage,False,20262027
2026-10-15,Boston College,St. Cloud State,False,20262027
2026-10-15,Miami,Robert Morris,False,20262027
2026-10-15,Augustana,Omaha,False,20262027
2026-10-15,Air Force,Lindenwood,False,20262027
2026-10-16,Connecticut,Colorado College,False,20262027
2026-10-16,Denver,Michigan,False,20262027
2026-10-16,Minnesota Duluth,Minnesota,False,20262027
2026-10-16,Western Michigan,Notre Dame,False,20262027
2026-10-16,North Dakota,Bentley,False,20262027
2026-10-16,UMass Lowell,Arizona State,False,20262027
2026-10-16,Merrimack,Minnesota State,False,20262027
2026-10-16,Colgate,New Hampshire,False,20262027
2026-10-16,RPI,LIU,False,20262027
2026-10-16,Union,Providence,False,20262027
2026-10-16,Alaska Anchorage,Lake Superior,False,20262027
2026-10-16,Michigan Tech,Alaska,False,20262027
2026-10-16,Northern Michigan,Stonehill,False,20262027
2026-10-16,Bowling Green,Niagara,False,20262027
2026-10-16,Penn State,Quinnipiac,False,20262027
2026-10-16,Air Force,Lindenwood,False,20262027
2026-10-16,Sacred Heart,Ohio State,False,20262027
2026-10-16,Massachusetts,Northeastern,False,20262027
2026-10-16,Vermont,Boston University,False,20262027
2026-10-16,Clarkson,Canisius,False,20262027
2026-10-17,Boston College,St. Cloud State,False,20262027
2026-10-17,Massachusetts,Northeastern,False,20262027
2026-10-17,Connecticut,Colorado College,False,20262027
2026-10-17,UMass Lowell,Arizona State,False,20262027
2026-10-17,Merrimack,Minnesota State,False,20262027
2026-10-17,Denver,Michigan,False,20262027
2026-10-17,Minnesota Duluth,Minnesota,False,20262027
2026-10-17,Omaha,Augustana,False,20262027
2026-10-17,North Dakota,Bentley,False,20262027
2026-10-17,RPI,LIU,False,20262027
2026-10-17,Colgate,New Hampshire,False,20262027
2026-10-17,Alaska Anchorage,Lake Superior,False,20262027
2026-10-17,Holy Cross,Army,False,20262027
2026-10-17,Vermont,Boston University,False,20262027
2026-10-17,Sacred Heart,Ohio State,False,20262027
2026-10-17,RIT,Michigan State,False,20262027
2026-10-17,Robert Morris,Miami,False,20262027
2026-10-17,Clarkson,Canisius,False,20262027
2026-10-17,Bowling Green,Niagara,False,20262027
2026-10-17,Northern Michigan,Stonehill,False,20262027
2026-10-17,Michigan Tech,Alaska,False,20262027
2026-10-17,Notre Dame,Western Michigan,False,20262027
2026-10-18,Holy Cross,Army,False,20262027
2026-10-20,Penn State,Robert Morris,False,20262027
2026-10-20,St. Lawrence,LIU,False,20262027
2026-10-22,Minnesota,North Dakota,False,20262027
2026-10-23,Minnesota,North Dakota,False,20262027
2026-10-23,Quinnipiac,Army,False,20262027
2026-10-23,Maine,Colgate,False,20262027
2026-10-23,Miami,Alaska Anchorage,False,20262027
2026-10-23,St. Thomas,Minnesota State,False,20262027
2026-10-23,Minnesota Duluth,Bemidji State,False,20262027
2026-10-23,Michigan,Western Michigan,False,20262027
2026-10-23,Denver,Boston College,False,20262027
2026-10-23,Colorado College,Air Force,False,20262027
2026-10-23,Notre Dame,Merrimack,False,20262027
2026-10-23,Vermont,Clarkson,False,20262027
2026-10-23,Penn State,Canisius,False,20262027
2026-10-23,Ohio State,Augustana,False,20262027
2026-10-23,Bentley,Robert Morris,False,20262027
2026-10-23,Holy Cross,Sacred Heart,False,20262027
2026-10-23,Ferris State,Michigan Tech,False,20262027
2026-10-23,Lake Superior,Bowling Green,False,20262027
2026-10-23,Lindenwood,Omaha,False,20262027
2026-10-23,UMass Lowell,Providence,False,20262027
2026-10-23,Niagara,Union,False,20262027
2026-10-23,RIT,RPI,False,20262027
2026-10-23,Connecticut,Boston University,False,20262027
2026-10-24,Denver,Boston College,False,20262027
2026-10-24,Miami,Alaska Anchorage,False,20262027
2026-10-24,Maine,Colgate,False,20262027
2026-10-24,Massachusetts,Stonehill,False,20262027
2026-10-24,New Hampshire,Michigan State,False,20262027
2026-10-24,Lindenwood,Omaha,False,20262027
2026-10-24,Bemidji State,Minnesota Duluth,False,20262027
2026-10-24,Minnesota State,St. Thomas,False,20262027
2026-10-24,Notre Dame,Merrimack,False,20262027
2026-10-24,Penn State,Canisius,False,20262027
2026-10-24,Air Force,Colorado College,False,20262027
2026-10-24,RIT,RPI,False,20262027
2026-10-24,Ferris State,Michigan Tech,False,20262027
2026-10-24,Lake Superior,Bowling Green,False,20262027
2026-10-24,Bentley,Robert Morris,False,20262027
2026-10-24,Sacred Heart,Holy Cross,False,20262027
2026-10-24,Ohio State,Augustana,False,20262027
2026-10-24,Niagara,Union,False,20262027
2026-10-25,Clarkson,Vermont,False,20262027
2026-10-29,Western Michigan,LIU,False,20262027
2026-10-29,Harvard,Massachusetts,False,20262027
2026-10-30,Army,RIT,False,20262027
2026-10-30,Western Michigan,LIU,False,20262027
2026-10-30,Massachusetts,Harvard,False,20262027
2026-10-30,Colgate,UMass Lowell,False,20262027
2026-10-30,Clarkson,Niagara,False,20262027
2026-10-30,Stonehill,Princeton,False,20262027
2026-10-30,Denver,Omaha,False,20262027
2026-10-30,St. Cloud State,Arizona State,False,20262027
2026-10-30,Miami,St. Thomas,False,20262027
2026-10-30,Cornell,Sacred Heart,False,20262027
2026-10-30,Vermont,New Hampshire,False,20262027
2026-10-30,Yale,Brown,False,20262027
2026-10-30,RPI,Union,False,20262027
2026-10-30,Minnesota State,Lake Superior,False,20262027
2026-10-30,Bemidji State,Ferris State,False,20262027
2026-10-30,Augustana,Northern Michigan,False,20262027
2026-10-30,Holy Cross,Bentley,False,20262027
