Date,HomeTeam,AwayTeam,NeutralSite,Season
2026-09-18,Mercyhurst,RPI,False,20262027
2026-09-18,Post,Lindenwood,False,20262027
2026-09-19,Mercyhurst,RPI,False,20262027
2026-09-19,Connecticut,Quinnipiac,False,20262027
2026-09-19,Post,Lindenwood,False,20262027
2026-09-24,Penn State,Ohio State,False,20262027
2026-09-24,Merrimack,Lindenwood,False,20262027
2026-09-25,St. Thomas,New Hampshire,False,20262027
2026-09-25,St. Cloud State,Connecticut,False,20262027
2026-09-25,Minnesota State,RPI,False,20262027
2026-09-25,Minnesota Duluth,Mercyhurst,False,20262027
2026-09-25,Sacred Heart,Providence,False,20262027
2026-09-25,Franklin Pierce,Union,False,20262027
2026-09-25,Maine,Quinnipiac,False,20262027
2026-09-25,Holy Cross,Delaware,False,20262027
2026-09-25,Merrimack,Lindenwood,False,20262027
2026-09-25,St. Lawrence,Wisconsin,False,20262027
2026-09-25,Clarkson,RIT,False,20262027
2026-09-25,Penn State,Ohio State,False,20262027
2026-09-25,Robert Morris,Post,False,20262027
2026-09-25,Syracuse,Stonehill,False,20262027
2026-09-25,Assumption,St. Michael's,False,20262027
2026-09-26,St. Cloud State,Connecticut,False,20262027
2026-09-26,St. Thomas,New Hampshire,False,20262027
2026-09-26,Minnesota State,RPI,False,20262027
2026-09-26,Minnesota Duluth,Mercyhurst,False,20262027
2026-09-26,Franklin Pierce,Union,False,20262027
2026-09-26,Boston University,LIU,False,20262027
2026-09-26,Providence,Sacred Heart,False,20262027
2026-09-26,Assumption,St. Michael's,False,20262027
2026-09-26,Holy Cross,Delaware,False,20262027
2026-09-26,St. Lawrence,Wisconsin,False,20262027
2026-09-26,Clarkson,RIT,False,20262027
2026-09-26,Robert Morris,Post,False,20262027
2026-09-26,Syracuse,Stonehill,False,20262027
2026-09-26,Maine,Quinnipiac,False,20262027
2026-10-01,Maine,St. Lawrence,False,20262027
2026-10-01,Holy Cross,Assumption,False,20262027
2026-10-01,Wisconsin,Boston University,False,20262027
2026-10-02,Vermont,Minnesota Duluth,False,20262027
2026-10-02,Minnesota State,St. Cloud State,False,20262027
2026-10-02,St. Thomas,Ohio State,False,20262027
2026-10-02,Bemidji State,Minnesota,False,20262027
2026-10-02,Wisconsin,Boston University,False,20262027
2026-10-02,LIU,New Hampshire,False,20262027
2026-10-02,Merrimack,Union,False,20262027
2026-10-02,Mercyhurst,Syracuse,False,20262027
2026-10-02,Connecticut,Clarkson,False,20262027
2026-10-02,RPI,Northeastern,False,20262027
2026-10-02,Quinnipiac,Providence,False,20262027
2026-10-02,RIT,Colgate,False,20262027
2026-10-02,St. Michael's,Franklin Pierce,False,20262027
2026-10-02,Penn State,Robert Morris,False,20262027
2026-10-02,Maine,St. Lawrence,False,20262027
2026-10-03,Bemidji State,Minnesota,False,20262027
2026-10-03,St. Thomas,Ohio State,False,20262027
2026-10-03,Minnesota State,St. Cloud State,False,20262027
2026-10-03,LIU,New Hampshire,False,20262027
2026-10-03,Vermont,Minnesota Duluth,False,20262027
2026-10-03,Providence,Quinnipiac,False,20262027
2026-10-03,Stonehill,Boston College,False,20262027
2026-10-03,Connecticut,Clarkson,False,20262027
2026-10-03,Colgate,RIT,False,20262027
2026-10-03,St. Michael's,Franklin Pierce,False,20262027
2026-10-03,Penn State,Robert Morris,False,20262027
2026-10-03,Delaware,Lindenwood,False,20262027
2026-10-03,Mercyhurst,Syracuse,False,20262027
2026-10-03,Merrimack,Union,False,20262027
2026-10-04,Delaware,Lindenwood,False,20262027
2026-10-06,Quinnipiac,Post,False,20262027
2026-10-08,St. Lawrence,Clarkson,False,20262027
2026-10-08,Lindenwood,Mercyhurst,False,20262027
2026-10-09,Ohio State,Wisconsin,False,20262027
2026-10-09,Minnesota Duluth,St. Thomas,False,20262027
2026-10-09,Minnesota,Maine,False,20262027
2026-10-09,Franklin Pierce,Vermont,False,20262027
2026-10-09,Colgate,St. Cloud State,False,20262027
2026-10-09,Clarkson,St. Lawrence,False,20262027
2026-10-09,RPI,Robert Morris,False,20262027
2026-10-09,Assumption,Sacred Heart,False,20262027
2026-10-09,Saint Anselm,Merrimack,False,20262027
2026-10-09,St. Michael's,Stonehill,False,20262027
2026-10-09,New Hampshire,Boston University,False,20262027
2026-10-09,Holy Cross,Boston College,False,20262027
2026-10-09,Providence,Northeastern,False,20262027
2026-10-09,Post,LIU,False,20262027
2026-10-09,RIT,Delaware,False,20262027
2026-10-09,Lindenwood,Mercyhurst,False,20262027
2026-10-09,Syracuse,Penn State,False,20262027
2026-10-10,Ohio State,Wisconsin,False,20262027
2026-10-10,Minnesota Duluth,St. Thomas,False,20262027
2026-10-10,Franklin Pierce,Vermont,False,20262027
2026-10-10,Colgate,St. Cloud State,False,20262027
2026-10-10,LIU,Post,False,20262027
2026-10-10,Assumption,Sacred Heart,False,20262027
2026-10-10,RPI,Robert Morris,False,20262027
2026-10-10,Maine,Bemidji State,True,20262027
2026-10-10,Boston College,Providence,False,20262027
2026-10-10,St. Michael's,Stonehill,False,20262027
2026-10-10,Northeastern,New Hampshire,False,20262027
2026-10-10,Boston University,Holy Cross,False,20262027
2026-10-10,RIT,Delaware,False,20262027
2026-10-10,Syracuse,Penn State,False,20262027
2026-10-11,Minnesota,Bemidji State,False,20262027
2026-10-14,Boston College,Merrimack,False,20262027
2026-10-15,New Hampshire,St. Lawrence,False,20262027
2026-10-16,Bemidji State,Minnesota Duluth,False,20262027
2026-10-16,St. Thomas,St. Cloud State,False,20262027
2026-10-16,Minnesota,Ohio State,False,20262027
2026-10-16,Wisconsin,Minnesota State,False,20262027
2026-10-16,Boston University,Colgate,False,20262027
2026-10-16,Holy Cross,Harvard,False,20262027
2026-10-16,New Hampshire,St. Lawrence,False,20262027
2026-10-16,Dartmouth,St. Michael's,False,20262027
2026-10-16,Clarkson,Franklin Pierce,False,20262027
2026-10-16,Quinnipiac,Northeastern,False,20262027
2026-10-16,Penn State,Lindenwood,False,20262027
2026-10-16,Cornell,Vermont,False,20262027
2026-10-16,Princeton,Connecticut,False,20262027
2026-10-16,Saint Anselm,Assumption,False,20262027
2026-10-16,Sacred Heart,LIU,False,20262027
2026-10-16,Robert Morris,Syracuse,False,20262027
2026-10-16,Delaware,Union,False,20262027
2026-10-16,RIT,Brown,False,20262027
