Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Sat.,2021-10-02,7:00 ET,Michigan State,0,@,US Under-18 Team,3,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,7:00 ET,Canisius,2,@,Niagara,2,OT,,ex,True,False,True,True,20212022
Sat.,2021-10-02,7:00 ET,Bowling Green,1,@,Michigan,7,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,4:00 ET,Western Michigan,3,@,Ohio State,1,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,7:00 ET,Northern Michigan,4,@,Michigan Tech,4,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,4:00 ET,RPI,5,@,Union,2,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,7:00 ET,St. Lawrence,3,@,Clarkson,0,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,4:30 ET,Maine,0,vs,Quinnipiac,7,,,ex,True,True,True,False,20212022
Sat.,2021-10-02,7:35 ET,Mercyhurst,2,@,Vermont,4,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,7:30 ET,Holy Cross,1,@,Boston University,6,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,4:00 ET,aic,1,@,Boston College,4,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,6:00 ET,Lindenwood,1,@,Denver,9,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,6:00 MT,Air Force,2,@,Colorado College,1,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,6:07 CT,Bemidji State,1,@,North Dakota,2,,,ex,True,False,True,False,20212022
Sat.,2021-10-02,7:05 ET,Colgate,5,@,RIT,2,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,6:07 ET,Miami,7,@,Ferris State,4,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,7:05 MT,UMass Lowell,3,@,Arizona State,5,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,4:00 ET,Army,0,@,Providence,7,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,4:05 ET,Sacred Heart,3,@,Connecticut,6,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,7:00 ET,Bentley,0,@,Northeastern,4,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,7:30 ET,Minnesota State,2,@,Massachusetts,0,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,6:07 CT,St. Thomas,2,@,St. Cloud State,12,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,7:07 CT,Lake Superior,4,@,Omaha,3,OT,,nc,True,False,False,True,20212022
Sun.,2021-10-03,5:00 ET,US Under-18 Team,4,@,Notre Dame,3,,,ex,True,False,True,False,20212022
Sun.,2021-10-03,1:00 CT,Minnesota Duluth,4,@,Wisconsin,2,,,ex,True,False,True,False,20212022
Sun.,2021-10-03,3:00 ET,LIU,1,@,Penn State,3,,,nc,True,False,False,False,20212022
Sun.,2021-10-03,4:37 CT,St. Cloud State,2,@,St. Thomas,0,,,nc,True,False,False,False,20212022
Sun.,2021-10-03,4:07 ET,Miami,3,@,Ferris State,4,OT,,nc,True,False,False,True,20212022
Sun.,2021-10-03,4:05 MT,UMass Lowell,4,@,Arizona State,2,,,nc,True,False,False,False,20212022
Sun.,2021-10-03,4:00 ET,Minnesota State,6,@,Massachusetts,3,,,nc,True,False,False,False,20212022
Sun.,2021-10-03,6:07 CT,Lake Superior,0,@,Omaha,3,,,nc,True,False,False,False,20212022
Mon.,2021-10-04,7:00 ET,LIU,2,@,Penn State,5,,,nc,True,False,False,False,20212022
Thu.,2021-10-07,7:00 ET,Merrimack,2,@,Providence,5,,,he,True,False,False,False,20212022
Fri.,2021-10-08,7:05 ET,RIT,4,@,Army,3,,,ah,True,False,False,False,20212022
Fri.,2021-10-08,6:37 ET,St. Thomas,1,@,Northern Michigan,4,,,cc2,True,False,False,False,20212022
Fri.,2021-10-08,7:05 ET,Boston University,2,@,Connecticut,1,,,he,True,False,False,False,20212022
Fri.,2021-10-08,7:30 ET,Northeastern,3,vs,Holy Cross,0,,,nc,True,True,False,False,20212022
Fri.,2021-10-08,4:30 ET,Quinnipiac,2,vs,Boston College,2,OT,,nc,True,True,False,True,20212022
Fri.,2021-10-08,7:05 ET,Ohio State,1,@,Bentley,2,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,7:00 CT,Mercyhurst,4,@,Minnesota,7,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,7:00 ET,Canisius,4,@,Penn State,1,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,7:00 ET,Air Force,3,@,Michigan State,2,OT,,nc,True,False,False,True,20212022
Fri.,2021-10-08,7:00 CT,Michigan Tech,5,@,Wisconsin,2,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,7:30 ET,Lake Superior,1,@,Michigan,6,,,nc,True,False,False,False,20212022
