Rnk,Team,NPI,W-L-T,Wgt W%,Wgt W% Rnk,SOS,SOS Rnk,QWB,Notes
1,Michigan,60.386,20-4-0,78.803,1,52.387,16,1.354,*
2,Michigan State,59.005,19-5-0,76.48,3,51.897,21,0.897,*
3,North Dakota,58.476,20-6-0,77.143,2,51.36,29,0.541,*
4,Penn State,58.434,18-6-0,75,4,52.118,18,0.596,*
5,Western Michigan,58.296,18-6-0,71.875,7,52.609,14,0.908,*
6,Minnesota Duluth,56.767,17-9-0,66.466,12,52.812,11,0.541,
7,Providence,56.508,15-7-2,66.667,11,52.355,17,0.575,
8,Quinnipiac,55.88,19-5-2,72.48,5,49.846,47,0.375,
9,Cornell,55.824,14-5-0,70.465,8,50.574,38,0.277,
10,Wisconsin,55.594,15-7-2,60.484,19,53.202,7,0.571,
11,St. Thomas,55.4,16-7-3,66.917,10,51.107,31,0.34,
12,Dartmouth,55.352,14-6-1,72.421,6,49.349,52,0.235,
13,Denver,55.235,14-11-2,58.841,22,53.063,8,0.727,
14,Boston College,54.462,13-8-1,62.807,15,51.48,25,0.15,
15,Connecticut,54.215,15-7-3,62.137,17,51.181,30,0.295,
16,Augustana,53.724,16-7-3,66.942,9,48.968,57,0.263,
17,St. Cloud State,53.471,13-13-0,53.023,31,53.012,9,0.456,
18,Minnesota State,53.296,13-8-5,60.63,18,50.325,43,0.395,
19,Harvard,53.197,11/8/2001,58.958,21,51.102,32,0.131,
20,Bowling Green,52.946,14-6-4,66.05,13,48.375,62,0.151,
21,Massachusetts,52.894,14-10-0,56.32,26,51.377,28,0.281,
22,Boston University,52.713,12/12/2001,51.008,34,52.768,12,0.385,
23,Maine,52.639,14-9-2,53.443,30,51.845,22,0.394,
24,Michigan Tech,52.558,17-9-2,64.255,14,48.504,60,0.116,
25,Miami,52.109,14-8-2,55.965,27,50.749,36,0.056,
26,Bentley,51.957,13-7-4,62.295,16,48.464,61,0.036,
27,Northeastern,51.91,12/11/2000,52.897,32,51.058,33,0.392,
28,Arizona State,51.738,12/13/2001,42.946,43,53.99,4,0.509,
29,Princeton,51.613,11/8/2001,58.427,23,49.119,55,0.167,
30,LIU,51.583,9/12/2001,55.439,28,50.174,46,0.092,
31,Merrimack,51.528,12/12/2000,50.783,35,51.435,26,0.256,
32,Ohio State,51.342,8/13/2001,43.889,42,53.22,6,0.455,
33,Sacred Heart,51.155,13-8-3,56.393,25,49.359,51,0.038,
34,Union,51.123,15-8-2,59.504,20,48.197,63,0.099,
35,Colorado College,51.069,10/11/2003,44.8,41,52.643,13,0.386,
36,Lindenwood,50.94,12/12/2000,51.864,33,50.503,41,0.097,
37,Canisius,50.904,13-9-2,57.913,24,48.559,59,0.007,
38,New Hampshire,50.823,11/12/2000,45.246,40,52.105,19,0.433,
39,RIT,50.721,14-11-1,55.2,29,49.07,56,0.119,
40,Clarkson,50.589,11/13/2002,47.619,38,50.977,34,0.452,
41,Minnesota,50.492,8/16/2001,33.934,53,55.343,1,0.502,
42,Air Force,50.327,11/11/2002,49.44,37,50.432,42,0.143,
43,Omaha,49.68,9/17/2000,35.385,51,54.042,3,0.303,
44,Holy Cross,49.488,11/11/2002,50,36,49.229,54,0.067,
45,Colgate,49.08,9/13/2002,41.379,44,51.423,27,0.168,
46,Bemidji State,49.01,9/14/2003,38.769,47,52.09,20,0.25,
47,Army,48.732,9/11/2005,46.614,39,49.317,53,0.091,
48,UMass Lowell,48.569,9/16/2000,38.295,48,51.647,24,0.261,
49,Alaska,48.547,7/14/2002,35.514,50,52.404,15,0.366,
50,Vermont,48.431,9/14/2000,37.739,49,51.675,23,0.24,
51,Lake Superior,48.147,9/16/2001,40.288,45,50.514,40,0.189,
52,Yale,46.785,7/13/2000,34.375,52,50.77,35,0.114,
53,Robert Morris,46.77,7/15/2002,38.814,46,49.422,50,0,
54,Notre Dame,46.45,5/18/2001,22.261,58,54.4,2,0.085,
55,RPI,45.092,6/18/2000,28.548,55,50.537,39,0.052,
56,Ferris State,44.249,4/22/2000,16.154,61,53.23,5,0.3,#
57,Brown,44.073,4/16/2000,25.169,57,50.286,44,0.066,
58,Niagara,44.066,7/15/2001,29.91,54,48.655,58,0.097,
59,Stonehill,43.791,5/16/2002,26.316,56,49.558,49,0.05,#
60,Northern Michigan,43.197,2/24/2000,13.835,63,52.982,10,0.107,#
61,Alaska Anchorage,42.99,3/18/2001,20.935,59,50.202,45,0.105,
62,St. Lawrence,41.425,3/20/2003,17.073,60,49.601,48,0,#
63,Mercyhurst,41.055,3/20/2001,14.05,62,50.677,37,0,#
