season,away_team,home_team,away_goals,home_goals,away_shots,home_shots,away_xg,home_xg,url,away_eng,home_eng,away_ev_goals,home_ev_goals
20242025,Michigan State,Lake Superior,2.0,1.0,39.0,26.0,2.5,1.6,https://www.collegehockeynews.com/box/final/20241004/msu/lss/,0,0,2.0,1.0
20242025,Minnesota State,Michigan,5.0,2.0,23.0,34.0,2.7,4.1,https://www.collegehockeynews.com/box/final/20241004/mns/mic/,0,0,5.0,1.0
20242025,Arizona State,Air Force,8.0,1.0,24.0,28.0,3.3,3.0,https://www.collegehockeynews.com/box/final/20241004/asu/afa/,0,0,3.0,1.0
20242025,Bowling Green,Mercyhurst,2.0,1.0,27.0,33.0,2.4,2.7,https://www.collegehockeynews.com/box/final/20241004/bgs/mrc/,0,0,1.0,1.0
20242025,Colgate,Connecticut,2.0,4.0,24.0,38.0,2.3,3.0,https://www.collegehockeynews.com/box/final/20241004/clg/con/,0,0,2.0,3.0
20242025,Miami,Ferris State,3.0,3.0,30.0,37.0,3.0,3.7,https://www.collegehockeynews.com/box/final/20241004/mia/fsu/,0,0,2.0,2.0
20242025,Michigan State,Lake Superior,5.0,1.0,47.0,26.0,3.3,2.0,https://www.collegehockeynews.com/box/final/20241005/msu/lss/,0,0,2.0,1.0
20242025,Bemidji State,Minnesota-Duluth,4.0,3.0,23.0,40.0,2.6,4.3,https://www.collegehockeynews.com/box/final/20241005/bmj/mnd/,0,0,4.0,2.0
20242025,Denver,Alaska-Anchorage,6.0,2.0,38.0,12.0,3.0,1.1,https://www.collegehockeynews.com/box/final/20241005/den/aka/,0,0,2.0,1.0
20242025,Minnesota State,Michigan,1.0,4.0,25.0,18.0,2.8,2.8,https://www.collegehockeynews.com/box/final/20241005/mns/mic/,0,2,1.0,2.0
20242025,Holy Cross,Boston University,2.0,5.0,31.0,37.0,1.9,3.2,https://www.collegehockeynews.com/box/final/20241005/hcr/bu_/,0,0,1.0,4.0
20242025,Canisius,Clarkson,1.0,2.0,25.0,28.0,2.9,3.1,https://www.collegehockeynews.com/box/final/20241005/cns/clk/,0,0,1.0,2.0
20242025,American Int'l,Maine,0.0,6.0,17.0,32.0,1.5,5.3,https://www.collegehockeynews.com/box/final/20241005/aic/mne/,0,0,0.0,5.0
20242025,RIT,St. Lawrence,2.0,3.0,22.0,27.0,2.2,3.2,https://www.collegehockeynews.com/box/final/20241005/rit/stl/,0,0,2.0,3.0
20242025,Massachusetts,Bentley,5.0,4.0,37.0,37.0,3.6,2.6,https://www.collegehockeynews.com/box/final/20241005/uma/ben/,0,0,5.0,3.0
20242025,Arizona State,Air Force,3.0,4.0,35.0,33.0,3.1,3.1,https://www.collegehockeynews.com/box/final/20241005/asu/afa/,0,0,3.0,2.0
20242025,Bowling Green,Mercyhurst,5.0,4.0,42.0,34.0,3.0,2.4,https://www.collegehockeynews.com/box/final/20241005/bgs/mrc/,0,0,4.0,3.0
20242025,Penn State,Alaska,4.0,3.0,33.0,29.0,2.6,3.0,https://www.collegehockeynews.com/box/final/20241005/psu/akf/,0,0,4.0,3.0
20242025,Colgate,Connecticut,2.0,6.0,34.0,43.0,3.2,4.5,https://www.collegehockeynews.com/box/final/20241005/clg/con/,0,0,2.0,5.0
20242025,Miami,Ferris State,4.0,4.0,38.0,27.0,4.0,1.9,https://www.collegehockeynews.com/box/final/20241005/mia/fsu/,0,0,1.0,4.0
20242025,RIT,Clarkson,3.0,2.0,18.0,34.0,1.5,3.7,https://www.collegehockeynews.com/box/final/20241006/rit/clk/,0,0,2.0,0.0
