Team Name,Conference,Team Page URL,Logo URL,Local Image Path
Air Force,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Air-Force/1,https://www.collegehockeynews.com/images/logos/afa.png,team_logos\air_force.png
Army,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Army/6,https://www.collegehockeynews.com/images/logos/arm.png,team_logos\army.png
Bentley,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Bentley/8,https://www.collegehockeynews.com/images/logos/ben.png,team_logos\bentley.png
Canisius,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Canisius/13,https://www.collegehockeynews.com/images/logos/cns.png,team_logos\canisius.png
Holy Cross,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Holy-Cross/23,https://www.collegehockeynews.com/images/logos/hcr.png,team_logos\holy_cross.png
Mercyhurst,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Mercyhurst/28,https://www.collegehockeynews.com/images/logos/mrc.png,team_logos\mercyhurst.png
Niagara,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Niagara/39,https://www.collegehockeynews.com/images/logos/nia.png,team_logos\niagara.png
RIT,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/RIT/49,https://www.collegehockeynews.com/images/logos/rit.png,team_logos\rit.png
Robert Morris,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Robert-Morris/50,https://www.collegehockeynews.com/images/logos/rmu.png,team_logos\robert_morris.png
Sacred Heart,Atlantic Hockey,https://www.collegehockeynews.com/reports/team/Sacred-Heart/51,https://www.collegehockeynews.com/images/logos/sac.png,team_logos\sacred_heart.png
Michigan,Big Ten,https://www.collegehockeynews.com/reports/team/Michigan/31,https://www.collegehockeynews.com/images/logos/mic.png,team_logos\michigan.png
Michigan State,Big Ten,https://www.collegehockeynews.com/reports/team/Michigan-State/32,https://www.collegehockeynews.com/images/logos/msu.png,team_logos\michigan_state.png
Minnesota,Big Ten,https://www.collegehockeynews.com/reports/team/Minnesota/34,https://www.collegehockeynews.com/images/logos/min.png,team_logos\minnesota.png
