Team Name,Conference,Team Page URL,Logo URL,Local Image Path
Assumption,NEWHA,,,
Bemidji State,WCHA,,,team_logos\bemidji_state.png
Boston College,Hockey East,,,team_logos\boston_college.png
Boston University,Hockey East,,,team_logos\boston_university.png
Brown,ECAC,,,team_logos\brown.png
Clarkson,ECAC,,,team_logos\clarkson.png
Colgate,ECAC,,,team_logos\colgate.png
Connecticut,Hockey East,,,team_logos\connecticut.png
Cornell,ECAC,,,team_logos\cornell.png
Dartmouth,ECAC,,,team_logos\dartmouth.png
Delaware,Atlantic Hockey America,,,
Franklin Pierce,NEWHA,,,
Harvard,ECAC,,,team_logos\harvard.png
Holy Cross,Hockey East,,,team_logos\holy_cross.png
LIU,NEWHA,,,team_logos\long_island.png
Lindenwood,Atlantic Hockey America,,,team_logos\lindenwood.png
Maine,Hockey East,,,team_logos\maine.png
Mercyhurst,Atlantic Hockey America,,,team_logos\mercyhurst.png
Merrimack,Hockey East,,,team_logos\merrimack.png
Minnesota,WCHA,,,team_logos\minnesota.png
Minnesota Duluth,WCHA,,,team_logos\minnesota-duluth.png
Minnesota State,WCHA,,,team_logos\minnesota_state.png
New Hampshire,Hockey East,,,team_logos\new_hampshire.png
Northeastern,Hockey East,,,team_logos\northeastern.png
Ohio State,WCHA,,,team_logos\ohio_state.png
Penn State,Atlantic Hockey America,,,team_logos\penn_state.png
Post,NEWHA,,,
Princeton,ECAC,,,team_logos\princeton.png
Providence,Hockey East,,,team_logos\providence.png
Quinnipiac,ECAC,,,team_logos\quinnipiac.png
RIT,Atlantic Hockey America,,,team_logos\rit.png
RPI,ECAC,,,team_logos\rpi.png
Robert Morris,Atlantic Hockey America,,,team_logos\robert_morris.png
Sacred Heart,NEWHA,,,team_logos\sacred_heart.png
Saint Anselm,NEWHA,,,
St. Cloud State,WCHA,,,team_logos\st._cloud_state.png
St. Lawrence,ECAC,,,team_logos\st._lawrence.png
St. Michael's,NEWHA,,,
St. Thomas,WCHA,,,team_logos\st._thomas.png
Stonehill,NEWHA,,,team_logos\stonehill.png
Syracuse,Atlantic Hockey America,,,
Union,ECAC,,,team_logos\union.png
Vermont,Hockey East,,,team_logos\vermont.png
Wisconsin,WCHA,,,team_logos\wisconsin.png
Yale,ECAC,,,team_logos\yale.png
