USCHO_Name,CHN_Name,Match_Confidence
Air Force,Air Force,1.0
Alaska,Alaska,1.0
Alaska Anchorage,Alaska-Anchorage,0.938
Arizona State,Arizona State,1.0
Army,Army,1.0
Augustana,Augustana,1.0
Bemidji State,Bemidji State,1.0
Bentley,Bentley,1.0
Boston College,Boston College,1.0
Boston University,Boston University,1.0
Bowling Green,Bowling Green,1.0
Brown,Brown,1.0
Canisius,Canisius,1.0
Clarkson,Clarkson,1.0
Colgate,Colgate,1.0
Colorado College,Colorado College,1.0
Connecticut,Connecticut,1.0
Cornell,Cornell,1.0
Dartmouth,Dartmouth,1.0
Denver,Denver,1.0
Ferris State,Ferris State,1.0
Harvard,Harvard,1.0
Holy Cross,Holy Cross,1.0
Lake Superior,Lake Superior,1.0
Lindenwood,Lindenwood,1.0
LIU,Long Island,1.0s
Maine,Maine,1.0
Massachusetts,Massachusetts,1.0
Mercyhurst,Mercyhurst,1.0
Merrimack,Merrimack,1.0
Miami,Miami,1.0
Michigan,Michigan,1.0
Michigan State,Michigan State,1.0
Michigan Tech,Michigan Tech,1.0
Minnesota,Minnesota,1.0
Minnesota Duluth,Minnesota-Duluth,0.938
Minnesota State,Minnesota State,1.0
New Hampshire,New Hampshire,1.0
Niagara,Niagara,1.0
North Dakota,North Dakota,1.0
Northeastern,Northeastern,1.0
Northern Michigan,Northern Michigan,1.0
Notre Dame,Notre Dame,1.0
Ohio State,Ohio State,1.0
Omaha,Omaha,1.0
Penn State,Penn State,1.0
Princeton,Princeton,1.0
Providence,Providence,1.0
Quinnipiac,Quinnipiac,1.0
RIT,RIT,1.0
RPI,RPI,1.0
Robert Morris,Robert Morris,1.0
Sacred Heart,Sacred Heart,1.0
St. Cloud State,St. Cloud State,1.0
St. Lawrence,St. Lawrence,1.0
St. Thomas,St. Thomas,1.0
Stonehill,Stonehill,1.0
UMass Lowell,Mass.-Lowell,0.833
Union,Union,1.0
Vermont,Vermont,1.0
Western Michigan,Western Michigan,1.0
Wisconsin,Wisconsin,1.0
Yale,Yale,1.0
Tennessee State,Tennessee State,1.0
