USCHO_Name,CHN_Name,Match_Confidence
Assumption,Assumption,1.0
Bemidji State,Bemidji State,1.0
Boston College,Boston College,1.0
Boston University,Boston University,1.0
Brown,Brown,1.0
Clarkson,Clarkson,1.0
Colgate,Colgate,1.0
Connecticut,Connecticut,1.0
Cornell,Cornell,1.0
Dartmouth,Dartmouth,1.0
Delaware,Delaware,1.0
Franklin Pierce,Franklin Pierce,1.0
Harvard,Harvard,1.0
Holy Cross,Holy Cross,1.0
LIU,LIU,1.0
Lindenwood,Lindenwood,1.0
Maine,Maine,1.0
Mercyhurst,Mercyhurst,1.0
Merrimack,Merrimack,1.0
Minnesota,Minnesota,1.0
Minnesota Duluth,Minnesota Duluth,1.0
Minnesota State,Minnesota State,1.0
New Hampshire,New Hampshire,1.0
Northeastern,Northeastern,1.0
Ohio State,Ohio State,1.0
Penn State,Penn State,1.0
Post,Post,1.0
Princeton,Princeton,1.0
Providence,Providence,1.0
Quinnipiac,Quinnipiac,1.0
RIT,RIT,1.0
RPI,RPI,1.0
Robert Morris,Robert Morris,1.0
Sacred Heart,Sacred Heart,1.0
Saint Anselm,Saint Anselm,1.0
St. Cloud State,St. Cloud State,1.0
St. Lawrence,St. Lawrence,1.0
St. Michael's,St. Michael's,1.0
St. Thomas,St. Thomas,1.0
Stonehill,Stonehill,1.0
Syracuse,Syracuse,1.0
Union,Union,1.0
Vermont,Vermont,1.0
Wisconsin,Wisconsin,1.0
Yale,Yale,1.0
